#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-05-05T08:56:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5cce9f1010d24
#INFO	-out.max=unlimited
#INFO	queryParameters=19
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Vmag
#-out=V-K
#-out=logLx
#-out=Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stellar rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
#Vmag;V-K;logLx;Prot;M*;R*;L*;Teff;dcz;Lx/bol
#mag;mag;[10-7W];d;Msun;Rsun;Lsun;K; ;[---]
#-----;-----;-----;-----;-----;-----;-----;----;-----;-----
16.11; 4.59;29.27; 1.87; 0.45; 0.39; 0.03;3751; 0.45;-2.85
13.53; 3.13;29.33; 5.47; 0.71; 0.61; 0.14;4279; 0.66;-3.39
15.83; 4.52;29.48; 0.31; 0.49; 0.41; 0.04;3814; 0.57;-2.73
13.53; 3.05;29.66; 0.88; 0.70; 0.60; 0.13;4254; 0.66;-3.04
12.09; 2.17;29.79; 4.21; 0.86; 0.76; 0.33;4849; 0.70;-3.31
12.77; 2.77;29.83; 0.42; 0.79; 0.69; 0.22;4589; 0.69;-3.10
10.05; 1.42;29.32; 4.86; 1.19; 1.12; 1.57;5950; 0.81;-4.46
12.10; 2.91;30.19; 0.43; 0.92; 0.82; 0.45;5074; 0.70;-3.04
14.49; 3.88;28.29; 0.74; 0.14; 0.16; 0.00;3129; 0.00;-2.77
14.12; 5.18;28.83; 5.85; 0.27; 0.26; 0.01;3471; 0.00;-2.80
12.64; 3.91;28.21; 0.86; 0.33; 0.30; 0.02;3570; 0.00;-3.60
 9.80; 1.84;30.28; 0.80; 1.00; 0.92; 0.72;5398; 0.72;-3.16
10.44; 2.83;29.74; 1.17; 0.76; 0.68; 0.20;4479; 0.68;-3.34
11.98; 3.56;27.86;16.14; 0.40; 0.35; 0.02;3665; 0.09;-4.11
14.23; 4.48;28.02;10.86; 0.20; 0.21; 0.01;3287; 0.00;-3.34
 5.38; 1.08;29.74; 3.13; 1.26; 1.26; 2.33;6170; 0.88;-4.17
14.46; 4.38;27.90; 1.06; 0.17; 0.18; 0.00;3221; 0.00;-3.34
11.60; 2.80;30.63; 0.29; 0.77; 0.68; 0.20;4504; 0.68;-3.58
11.73; 2.93;29.60; 0.57; 0.93; 0.96; 0.37;4414; 0.58;-3.56
14.56; 4.61;28.13;12.54; 0.18; 0.19; 0.00;3234; 0.00;-3.13
13.08; 3.76;29.14; 3.02; 0.43; 0.49; 0.05;3709; 0.31;-3.16
14.05; 4.58;28.62; 0.85; 0.22; 0.22; 0.01;3352; 0.00;-2.84
 9.44; 2.12;28.63; 9.35; 0.89; 0.80; 0.40;4989; 0.70;-4.56
10.79; 2.39;29.88; 2.65; 0.85; 0.76; 0.33;4830; 0.70;-3.28
13.42; 4.17;28.21; 5.56; 0.26; 0.25; 0.01;3450; 0.00;-3.38
11.98; 1.86;30.22; 6.70; 1.01; 0.93; 0.73;5368; 1.00;-3.23
14.61; 4.21;28.21; 2.22; 0.15; 0.17; 0.00;3166; 0.00;-2.92
 8.03; 1.46;29.28; 8.69; 1.12; 1.05; 1.24;5758; 0.76;-4.40
 8.05; 1.59;29.14; 8.48; 1.13; 1.06; 1.26;5764; 0.76;-4.54
15.13; 5.35;27.81; 1.85; 0.18; 0.19; 0.01;3247; 0.00;-3.48
12.62; 4.72;28.18;17.57; 0.43; 0.37; 0.03;3712; 0.09;-3.89
11.17; 5.21;28.02; 2.11; 0.20; 0.21; 0.01;3301; 0.00;-3.36
10.84; 2.26;29.98; 1.82; 0.88; 0.79; 0.39;4950; 0.70;-3.26
 6.94; 1.77;28.76; 7.15; 1.00; 0.92; 0.72;5397; 0.72;-4.63
13.37; 4.44;28.45; 4.77; 0.29; 0.27; 0.01;3507; 0.00;-3.24
 7.50; 1.42;28.31;12.80; 1.10; 1.03; 1.13;5697; 0.76;-5.29
 9.14; 1.95;28.55;10.26; 0.93; 0.84; 0.50;5128; 0.70;-4.73
14.46; 4.84;28.62; 2.35; 0.37; 0.32; 0.02;3625; 0.41;-3.28
 9.61; 2.29;28.70;12.64; 0.87; 0.78; 0.36;4909; 0.70;-4.45
10.03; 2.87;28.90; 9.57; 0.85; 0.76; 0.32;4805; 0.68;-4.19
 8.62; 1.86;28.56; 9.39; 1.03; 0.94; 0.79;5457; 0.72;-4.92
 7.47; 1.34;29.25; 5.44; 1.23; 1.21; 2.04;6095; 0.82;-4.65
10.71; 1.64;29.54; 3.66; 0.66; 0.57; 0.11;4125; 0.65;-3.08
12.33; 2.73;29.68; 4.20; 0.84; 0.83; 0.32;4553; 0.62;-3.41
 9.40; 2.25;28.58; 9.90; 0.91; 0.81; 0.44;5045; 0.70;-4.65
10.52; 3.03;28.31;12.38; 0.79; 0.70; 0.22;4579; 0.68;-4.63
11.26; 2.45;30.33; 1.60; 1.06; 1.12; 0.68;4776; 0.64;-3.09
12.88; 4.65;29.39; 5.33; 0.60; 0.51; 0.08;3971; 0.61;-3.08
 7.62; 1.42;29.91; 7.10; 1.21; 1.17; 1.79;6015; 0.82;-3.93
 9.98; 2.46;28.57;11.88; 0.82; 0.74; 0.28;4712; 0.68;-4.46
14.57; 5.23;28.10; 1.05; 0.22; 0.23; 0.01;3360; 0.00;-3.37
 7.80; 1.42;29.24; 7.96; 1.17; 1.11; 1.52;5891; 0.82;-4.53
10.28; 2.45;28.25;10.82; 0.78; 0.69; 0.21;4524; 0.68;-4.66
12.82; 4.11;28.61;10.84; 0.54; 0.46; 0.06;3869; 0.54;-3.72
 9.01; 2.24;28.74; 8.46; 0.98; 0.88; 0.62;5292; 0.72;-4.64
 7.49; 1.29;29.48; 4.98; 1.23; 1.20; 1.99;6080; 0.82;-4.41
 8.08; 1.64;29.24; 7.73; 1.12; 1.05; 1.22;5747; 0.76;-4.43
11.04; 2.51;30.21; 2.06; 0.83; 0.74; 0.28;4728; 0.68;-3.31
 8.14; 1.54;29.03; 8.67; 1.11; 1.03; 1.15;5710; 0.76;-4.62
10.48; 3.45;28.83;12.61; 0.84; 0.75; 0.30;4764; 0.68;-4.23
 9.45; 2.57;28.55;10.40; 0.92; 0.82; 0.46;5078; 0.70;-4.70
10.39; 2.68;28.82;12.78; 0.77; 0.68; 0.20;4487; 0.68;-4.07
 7.42; 1.29;29.08; 5.87; 1.25; 1.22; 2.12;6124; 0.82;-4.83
 7.49; 1.42;29.33; 5.30; 1.23; 1.20; 2.02;6090; 0.82;-4.56
 7.49; 1.29;29.35; 5.30; 1.23; 1.22; 2.06;6085; 0.82;-4.55
 9.49; 2.14;28.37; 9.70; 0.89; 0.79; 0.39;4957; 0.70;-4.80
12.10; 4.39;29.49; 2.42; 0.70; 0.61; 0.13;4234; 0.65;-3.21
 8.64; 1.77;28.88;11.52; 1.01; 0.92; 0.74;5419; 0.72;-4.58
 7.82; 1.46;29.15; 7.41; 1.17; 1.11; 1.51;5886; 0.82;-4.61
14.26; 4.89;29.43; 8.80; 0.41; 0.35; 0.03;3684; 0.41;-2.56
 8.94; 1.95;28.72;11.38; 0.97; 0.87; 0.60;5261; 0.72;-4.65
 9.01; 2.19;28.40; 8.73; 0.97; 0.88; 0.61;5277; 0.72;-4.97
13.29; 4.69;28.31;13.26; 0.33; 0.30; 0.02;3560; 0.00;-3.48
10.84; 2.11;30.07; 2.71; 1.06; 1.13; 0.90;5099; 0.68;-3.47
11.03; 3.38;29.68; 1.48; 0.74; 0.65; 0.17;4388; 0.65;-3.14
10.74; 2.05;29.87; 1.56; 0.94; 0.85; 0.53;5159; 0.70;-3.26
 8.92; 2.15;28.76; 9.36; 0.99; 0.90; 0.66;5334; 0.72;-4.64
10.75; 3.81;28.69; 3.07; 0.42; 0.72; 0.10;3674; 0.00;-3.90
 8.66; 1.77;28.48; 9.04; 1.01; 0.92; 0.73;5408; 0.72;-4.97
12.62; 4.59;29.70;17.55; 0.63; 0.54; 0.09;4051; 0.61;-2.86
 7.75; 1.42;29.54; 7.00; 0.95; 0.86; 0.56;5199; 0.70;-3.80
11.73; 3.67;29.05;11.03; 0.66; 0.57; 0.11;4126; 0.65;-3.57
 7.92; 1.46;28.89; 8.55; 1.15; 1.08; 1.38;5822; 0.76;-4.83
14.91; 5.04;28.51;13.36; 0.33; 0.30; 0.02;3562; 0.00;-3.28
14.59; 4.62;28.23; 2.60; 0.18; 0.19; 0.00;3230; 0.00;-3.02
 7.54; 1.46;29.30; 6.46; 1.23; 1.19; 1.95;6067; 0.82;-4.57
12.49; 5.16;29.32; 0.34; 0.52; 0.44; 0.05;3833; 0.54;-2.96
 9.62; 2.15;30.20; 0.73; 0.91; 0.82; 0.44;5050; 0.70;-3.33
10.06; 2.58;28.64;10.85; 0.82; 0.73; 0.26;4685; 0.68;-4.37
10.63; 3.24;29.20; 5.61; 0.58; 0.49; 0.07;3934; 0.61;-3.23
14.32; 4.88;28.05;12.49; 0.22; 0.22; 0.01;3345; 0.00;-3.40
 9.97; 4.36;27.36;38.92; 0.46; 0.40; 0.04;3754; 0.54;-4.79
12.61; 3.08;29.67; 1.15; 0.76; 0.74; 0.21;4318; 0.64;-3.23
14.16; 3.40;28.30; 3.31; 0.14; 0.16; 0.00;3124; 0.00;-2.75
 8.30; 1.81;28.68; 7.95; 1.09; 1.01; 1.04;5643; 0.76;-4.92
13.89; 5.02;28.61; 0.62; 0.28; 0.27; 0.01;3495; 0.00;-3.06
 5.49; 1.46;28.70; 7.60; 1.09; 1.01; 1.06;5652; 0.76;-4.91
11.12; 3.75;28.97;10.77; 0.77; 0.68; 0.20;4494; 0.68;-3.92
 9.06; 1.99;28.48; 9.69; 0.95; 0.85; 0.54;5182; 0.70;-4.84
11.23; 3.26;29.18;10.46; 0.67; 0.58; 0.11;4144; 0.65;-3.46
 9.53; 2.57;29.62; 6.90; 0.91; 0.81; 0.43;5035; 0.70;-3.60
13.46; 5.29;29.02; 1.03; 0.38; 0.34; 0.02;3640; 0.09;-2.91
13.79; 3.68;28.21; 1.49; 0.18; 0.19; 0.00;3242; 0.00;-3.07
14.18; 3.42;28.21; 0.73; 0.14; 0.16; 0.00;3124; 0.00;-2.84
10.29; 2.55;28.56;11.34; 0.78; 0.69; 0.21;4535; 0.68;-4.35
11.13; 4.10;28.98; 0.85; 0.31; 0.29; 0.01;3545; 0.00;-2.78
 9.60; 3.34;28.97; 1.86; 0.76; 0.67; 0.20;4469; 0.68;-3.90
13.96; 3.78;29.29; 0.40; 0.42; 0.36; 0.03;3692; 0.09;-2.74
10.50; 1.69;30.32; 0.37; 1.06; 0.99; 0.96;5577; 0.76;-3.25
 7.74; 1.95;28.15;17.99; 0.92; 0.83; 0.48;5105; 0.70;-5.08
10.28; 4.10;29.14; 0.34; 0.47; 0.40; 0.04;3757; 0.54;-3.01
13.60; 4.16;28.34; 4.23; 0.27; 0.26; 0.01;3464; 0.00;-3.28
12.73; 3.32;28.34; 6.75; 0.26; 0.25; 0.01;3458; 0.00;-3.27
13.32; 3.42;29.72; 1.58; 0.60; 0.51; 0.08;3979; 0.61;-2.76
12.67; 3.61;28.31; 5.81; 0.30; 0.28; 0.01;3523; 0.00;-3.40
13.60; 3.84;28.27; 8.09; 0.21; 0.21; 0.01;3318; 0.00;-3.14
 5.00; 1.29;29.44; 3.56; 1.22; 1.20; 1.98;6060; 0.82;-4.39
 6.30; 1.24;30.34; 0.97; 1.22; 1.20; 1.98;6060; 0.82;-3.48
 6.88; 2.15;30.30; 0.51; 0.91; 0.82; 0.44;5054; 0.70;-2.93
13.61; 4.15;28.34; 0.83; 0.27; 0.26; 0.01;3469; 0.00;-3.29
 7.92; 3.73;27.65;33.61; 0.54; 0.46; 0.06;3867; 0.54;-4.68
12.26; 3.66;28.81; 3.40; 0.49; 0.41; 0.04;3785; 0.54;-3.39
 8.78; 3.41;28.40;12.29; 0.61; 0.52; 0.08;4006; 0.61;-4.13
 7.95; 1.95;29.91; 4.52; 0.89; 0.80; 0.40;4972; 0.70;-3.26
 7.85; 1.64;28.70;14.60; 0.94; 0.85; 0.54;5177; 0.70;-4.60
 6.21; 2.03;28.55;11.00; 0.94; 0.85; 0.52;5155; 0.70;-4.71
 5.95; 1.62;29.02;35.90; 1.60; 1.75; 7.22;6977; 0.99;-5.40
10.99; 3.83;28.99;12.05; 0.57; 0.48; 0.07;3920; 0.61;-3.42
 7.80; 1.46;28.92; 7.60; 1.13; 1.07; 1.29;5772; 0.76;-4.72
 4.39; 1.42;29.08; 5.36; 1.12; 1.05; 1.22;5739; 0.76;-4.53
11.33; 5.29;28.01; 0.50; 0.22; 0.22; 0.01;3335; 0.00;-3.42
13.84; 3.06;28.34;11.39; 0.15; 0.16; 0.00;3147; 0.00;-2.75
 6.43; 1.64;28.60; 7.80; 1.04; 0.96; 0.85;5494; 0.72;-4.92
13.26; 3.63;27.93; 1.03; 0.23; 0.23; 0.01;3367; 0.00;-3.55
 9.95; 3.14;30.16; 2.66; 0.82; 0.74; 0.28;4712; 0.68;-2.84
 7.95; 1.42;30.09; 1.15; 1.16; 1.12; 1.52;5878; 0.82;-3.63
13.53; 4.40;28.00;10.35; 0.27; 0.26; 0.01;3463; 0.00;-3.62
11.12; 5.63;27.75; 0.39; 0.21; 0.21; 0.01;3317; 0.00;-3.65
13.80; 4.92;28.75; 1.59; 0.28; 0.27; 0.01;3495; 0.00;-2.92
12.93; 3.85;28.10; 7.85; 0.29; 0.27; 0.01;3502; 0.00;-3.58
15.32; 5.29;28.16;10.51; 0.16; 0.18; 0.00;3199; 0.00;-3.03
13.04; 2.94;28.24; 0.28; 0.20; 0.21; 0.01;3303; 0.00;-3.14
11.83; 3.51;28.90; 3.05; 0.41; 0.36; 0.03;3686; 0.09;-3.12
13.32; 4.55;29.12; 0.52; 0.31; 0.29; 0.01;3535; 0.00;-2.62
11.61; 5.76;29.25; 5.59; 0.74; 0.66; 0.18;4404; 0.65;-3.58
12.76; 3.85;28.52; 2.55; 0.31; 0.29; 0.01;3539; 0.00;-3.23
12.71; 3.09;28.49; 3.09; 0.25; 0.24; 0.01;3429; 0.00;-3.06
13.13; 4.27;28.72; 1.67; 0.31; 0.28; 0.01;3534; 0.00;-3.02
11.48; 3.51;29.17; 0.55; 0.47; 0.40; 0.04;3759; 0.54;-2.99
 9.93; 3.05;29.36; 2.78; 0.73; 0.64; 0.16;4334; 0.65;-3.39
 9.93; 3.05;29.35; 2.80; 0.73; 0.64; 0.16;4334; 0.65;-3.44
12.71; 4.48;28.72;15.10; 0.40; 0.35; 0.02;3661; 0.09;-3.25
13.83; 4.71;28.29; 0.84; 0.26; 0.25; 0.01;3445; 0.00;-3.29
 7.68; 1.64;28.54; 8.03; 0.84; 0.76; 0.32;4801; 0.68;-4.46
13.12; 3.88;28.25; 0.87; 0.27; 0.25; 0.01;3461; 0.00;-3.36
14.40; 4.79;28.06; 1.22; 0.20; 0.21; 0.01;3304; 0.00;-3.32
11.20; 5.50;28.50; 2.78; 0.28; 0.26; 0.01;3482; 0.00;-3.14
13.13; 4.44;28.73; 1.02; 0.32; 0.29; 0.02;3555; 0.00;-3.05
13.34; 3.65;28.23; 1.36; 0.22; 0.22; 0.01;3347; 0.00;-3.22
14.33; 4.88;28.02;30.33; 0.22; 0.22; 0.01;3342; 0.00;-3.42
17.36; 3.76;29.28; 2.36; 0.53; 0.44; 0.05;3861; 0.57;-3.02
19.46; 4.81;29.25; 0.92; 0.32; 0.30; 0.02;3551; 0.00;-2.54
20.22; 5.37;29.29; 0.64; 0.28; 0.27; 0.01;3481; 0.00;-2.39
16.81; 3.82;29.40; 1.60; 0.62; 0.53; 0.09;4047; 0.62;-3.14
17.13; 3.67;29.15; 0.45; 0.55; 0.46; 0.06;3902; 0.62;-3.21
17.59; 4.02;29.22; 0.96; 0.52; 0.44; 0.05;3858; 0.57;-3.07
20.11; 5.48;28.80; 0.34; 0.31; 0.29; 0.01;3536; 0.00;-2.96
17.35; 3.75;29.03; 6.58; 0.53; 0.44; 0.05;3861; 0.57;-3.27
19.78; 5.16;28.87; 0.39; 0.31; 0.30; 0.02;3546; 0.00;-2.91
17.65; 3.98;29.26; 0.76; 0.51; 0.42; 0.05;3836; 0.57;-3.00
18.06; 4.09;29.00; 0.52; 0.46; 0.38; 0.03;3757; 0.57;-3.13
17.54; 3.88;29.34; 0.33; 0.51; 0.43; 0.05;3843; 0.57;-2.93
20.47; 5.37;29.02; 0.34; 0.24; 0.25; 0.01;3413; 0.00;-2.56
19.61; 5.21;29.34; 1.05; 0.35; 0.32; 0.02;3597; 0.00;-2.53
15.23; 4.02;28.46; 4.77; 0.12; 0.13; 0.00;2959; 0.00;-2.36
14.83; 4.75;28.22;11.99; 0.17; 0.18; 0.00;3205; 0.00;-2.98
14.42; 2.76;30.12; 2.63; 0.89; 0.87; 0.46;4955; 0.68;-3.13
19.64; 5.77;29.26; 0.28; 0.32; 0.43; 0.03;3559; 0.00;-2.84
17.69; 4.65;29.05; 7.59; 0.55; 0.56; 0.08;3849; 0.52;-3.44
 9.90; 3.51;29.72; 3.37; 0.73; 0.64; 0.16;4340; 0.65;-3.07
18.39; 4.82;29.02;11.56; 0.42; 0.49; 0.05;3692; 0.31;-3.26
14.55; 2.53;30.33; 5.58; 0.85; 0.83; 0.37;4754; 0.68;-2.83
14.82; 2.72;29.77; 5.26; 0.83; 0.80; 0.31;4609; 0.64;-3.31
18.15; 5.05;29.52; 1.34; 0.53; 0.55; 0.07;3815; 0.44;-2.93
20.14; 5.49;28.79; 0.60; 0.20; 0.34; 0.02;3334; 0.00;-3.01
18.27; 4.78;29.26; 1.10; 0.44; 0.50; 0.05;3713; 0.31;-3.04
17.37; 4.72;29.44; 0.75; 0.64; 0.62; 0.11;3980; 0.52;-3.21
18.14; 4.85;29.37; 0.56; 0.49; 0.52; 0.06;3767; 0.44;-3.01
19.57; 5.58;28.85; 0.41; 0.30; 0.42; 0.03;3534; 0.00;-3.21
16.92; 4.46;29.79; 5.40; 0.70; 0.67; 0.15;4091; 0.58;-2.96
17.30; 4.36;29.33; 3.44; 0.60; 0.59; 0.10;3912; 0.52;-3.24
18.69; 5.14;29.39; 0.86; 0.41; 0.48; 0.05;3685; 0.31;-2.87
19.56; 5.56;28.87; 1.49; 0.30; 0.42; 0.03;3531; 0.00;-3.19
15.95; 4.05;29.76; 6.80; 0.81; 0.79; 0.27;4507; 0.64;-3.25
19.17; 5.09;28.72; 0.80; 0.30; 0.42; 0.03;3529; 0.00;-3.33
17.73; 4.48;29.53; 1.96; 0.52; 0.54; 0.07;3802; 0.44;-2.90
17.56; 4.75;29.40; 2.22; 0.61; 0.60; 0.10;3923; 0.52;-3.18
18.01; 4.67;29.43; 1.52; 0.48; 0.52; 0.06;3762; 0.44;-2.95
18.90; 4.95;28.75; 1.25; 0.33; 0.43; 0.03;3568; 0.00;-3.36
20.12; 6.06;28.66; 1.48; 0.28; 0.40; 0.03;3490; 0.00;-3.35
18.49; 5.17;28.93; 2.41; 0.47; 0.51; 0.06;3746; 0.44;-3.42
18.16; 5.01;29.65; 1.27; 0.52; 0.54; 0.07;3802; 0.44;-2.78
16.30; 3.91;29.30; 0.27; 0.73; 0.70; 0.17;4189; 0.58;-3.52
15.59; 3.44;30.41; 0.98; 0.79; 0.77; 0.24;4441; 0.64;-2.56
20.27; 5.57;28.63; 0.61; 0.19; 0.33; 0.02;3316; 0.00;-3.15
15.93; 3.51;29.62; 5.09; 0.74; 0.71; 0.18;4232; 0.58;-3.23
17.59; 4.46;29.54; 6.47; 0.54; 0.56; 0.08;3838; 0.44;-2.94
18.59; 4.92;28.92; 1.62; 0.39; 0.47; 0.04;3662; 0.31;-3.30
16.99; 4.08;29.09; 5.86; 0.62; 0.61; 0.10;3944; 0.52;-3.51
18.49; 4.97;29.28; 0.49; 0.42; 0.49; 0.05;3698; 0.31;-3.00
18.79; 5.04;29.50; 1.56; 0.37; 0.46; 0.04;3626; 0.31;-2.69
16.33; 3.80;29.59; 1.46; 0.71; 0.68; 0.15;4124; 0.58;-3.18
15.63; 3.29;29.66; 4.41; 0.77; 0.74; 0.21;4333; 0.64;-3.25
17.83; 4.52;29.66; 1.70; 0.50; 0.53; 0.07;3784; 0.44;-2.74
17.86; 4.66;29.31; 1.22; 0.52; 0.54; 0.07;3802; 0.44;-3.12
15.94; 3.54;29.52; 0.54; 0.74; 0.71; 0.18;4236; 0.58;-3.34
16.29; 4.07;29.85; 1.82; 0.75; 0.73; 0.20;4284; 0.64;-3.03
19.07; 5.57;29.01; 0.51; 0.41; 0.48; 0.05;3684; 0.31;-3.24
16.77; 4.02;29.30; 4.70; 0.66; 0.64; 0.12;4006; 0.58;-3.38
18.53; 4.80;29.18; 2.07; 0.38; 0.47; 0.04;3645; 0.31;-3.02
17.41; 4.37;30.01; 0.51; 0.57; 0.58; 0.09;3875; 0.52;-2.52
15.13; 3.17;29.61; 0.24; 0.83; 0.80; 0.31;4610; 0.64;-3.47
18.23; 4.55;29.14;10.16; 0.41; 0.48; 0.05;3679; 0.31;-3.11
14.78; 2.90;29.60; 0.35; 0.85; 0.83; 0.36;4734; 0.64;-3.55
15.15; 2.96;29.59; 6.71; 0.81; 0.79; 0.27;4518; 0.64;-3.43
17.18; 4.29;29.52; 2.98; 0.62; 0.60; 0.10;3934; 0.52;-3.07
15.92; 3.45;29.48; 5.18; 0.74; 0.71; 0.18;4214; 0.58;-3.36
18.16; 4.86;29.41; 2.99; 0.48; 0.52; 0.06;3763; 0.44;-2.97
19.13; 5.23;29.17; 1.25; 0.33; 0.44; 0.03;3572; 0.00;-2.94
18.74; 5.25;29.02; 5.65; 0.42; 0.49; 0.05;3697; 0.31;-3.26
18.23; 5.02;29.18; 2.75; 0.50; 0.53; 0.07;3787; 0.44;-3.23
19.50; 5.59;28.99; 1.01; 0.32; 0.43; 0.03;3555; 0.00;-3.10
16.97; 4.45;29.81; 3.54; 0.69; 0.66; 0.14;4063; 0.58;-2.92
16.96; 4.11;29.28; 4.49; 0.63; 0.62; 0.11;3964; 0.52;-3.35
19.31; 5.25;28.79; 0.55; 0.30; 0.42; 0.03;3530; 0.00;-3.27
18.31; 4.80;29.39; 1.42; 0.43; 0.49; 0.05;3707; 0.31;-2.91
18.98; 5.13;29.28; 1.62; 0.34; 0.44; 0.04;3592; 0.00;-2.86
19.63; 5.25;28.61; 0.88; 0.24; 0.38; 0.02;3429; 0.00;-3.31
17.61; 4.74;29.55; 0.29; 0.59; 0.59; 0.09;3900; 0.52;-3.00
20.10; 5.78;28.93; 0.70; 0.24; 0.37; 0.02;3425; 0.00;-2.99
18.61; 4.96;29.55; 1.75; 0.40; 0.48; 0.04;3669; 0.31;-2.69
20.28; 5.65;28.56; 0.52; 0.20; 0.34; 0.02;3334; 0.00;-3.24
17.29; 4.67;29.25; 2.29; 0.65; 0.63; 0.12;3994; 0.58;-3.41
19.17; 5.22;29.05; 1.07; 0.32; 0.43; 0.03;3558; 0.00;-3.05
16.01; 3.73;29.39; 3.17; 0.75; 0.73; 0.20;4277; 0.64;-3.48
19.86; 5.28;29.11; 1.04; 0.21; 0.35; 0.02;3364; 0.00;-2.74
13.24; 4.29;28.57; 3.22; 0.29; 0.28; 0.01;3516; 0.00;-3.13
 8.70; 1.51;29.64; 3.30; 1.15; 1.09; 1.41;5828; 0.76;-4.08
 7.71; 1.42;29.24; 3.97; 1.08; 1.01; 1.04;5637; 0.76;-4.35
 5.63; 1.50;29.11; 4.90; 1.10; 1.02; 1.09;5675; 0.76;-4.51
16.96; 4.87;29.16; 0.81; 0.46; 0.39; 0.03;3746; 0.54;-2.97
19.94; 4.58;28.12; 0.55; 0.12; 0.13; 0.00;2953; 0.00;-2.69
10.32; 1.29;28.78; 7.02; 1.26; 1.24; 2.26;6173; 0.87;-5.16
17.71; 4.91;28.65; 4.29; 0.34; 0.31; 0.02;3587; 0.00;-3.19
15.29; 3.89;28.78; 4.27; 0.61; 0.51; 0.08;3990; 0.61;-3.71
17.49; 5.12;28.84; 5.75; 0.41; 0.36; 0.03;3682; 0.09;-3.16
10.66; 1.42;29.33; 5.90; 1.19; 1.15; 1.67;5969; 0.81;-4.48
17.96; 4.98;28.36; 1.67; 0.32; 0.29; 0.02;3549; 0.00;-3.40
11.86; 2.04;29.62; 3.86; 0.89; 0.81; 0.42;4997; 0.70;-3.58
18.42; 4.98;28.18; 1.28; 0.26; 0.25; 0.01;3448; 0.00;-3.41
18.02; 4.97;28.68; 2.65; 0.31; 0.29; 0.01;3538; 0.00;-3.06
12.62; 2.53;29.92; 4.80; 0.90; 0.80; 0.41;5013; 0.70;-3.28
10.45; 1.52;30.16; 1.32; 1.16; 1.08; 1.36;5826; 0.81;-3.56
13.19; 2.47;29.08; 5.68; 0.80; 0.72; 0.24;4634; 0.68;-3.89
 9.89; 1.07;29.10;13.15; 1.36; 1.37; 3.29;6459; 0.93;-5.01
12.20; 1.95;28.66; 9.34; 0.93; 0.84; 0.50;5125; 0.70;-4.62
13.93; 3.45;28.95; 4.27; 0.77; 0.69; 0.21;4522; 0.68;-3.95
16.46; 4.74;28.90; 1.37; 0.52; 0.44; 0.05;3840; 0.54;-3.38
12.56; 2.84;30.10; 0.53; 0.82; 0.77; 0.30;4725; 0.67;-2.96
18.23; 5.08;29.25; 4.46; 0.29; 0.27; 0.01;3513; 0.00;-2.44
12.97; 2.74;29.57; 2.43; 0.85; 0.76; 0.32;4815; 0.68;-3.52
13.36; 3.37;29.63; 2.78; 0.74; 0.70; 0.20;4375; 0.61;-3.25
12.35; 2.01;28.84; 9.15; 0.91; 0.81; 0.44;5048; 0.70;-4.38
13.57; 3.27;29.65; 5.80; 0.71; 0.66; 0.16;4208; 0.61;-3.13
15.88; 4.71;29.34; 1.81; 0.46; 0.47; 0.05;3742; 0.48;-2.94
10.70; 2.02;30.09; 0.22; 1.13; 1.04; 1.20;5744; 1.00;-3.58
13.96; 4.04;29.56; 0.26; 0.73; 0.69; 0.18;4319; 0.61;-3.29
16.99; 4.70;28.95; 3.97; 0.43; 0.37; 0.03;3708; 0.09;-3.11
11.73; 2.20;30.03; 0.50; 0.93; 0.84; 0.50;5125; 0.70;-3.25
